Tweets,target(fake=0)
Alopathy lobby is so strong in India! - Not only controlling ICMR   and ensuring that effective Indian Ayurvedic Medicines are not used to treat .!!!',0
" until the paper becomes available, ICMR stands guilty of the same charge that Patanjali Ayurved has been accused of: doing science by press release.",0
"As written in cover it is Arsenicum album, is a solution prepared by diluting aqueous arsenic trioxide. If not properly prepared may leads to arsenic poisoning. It is not even appropriate to take orally.  ",1
"In an earlier sci-check, @AltNewsScience found Arsenicum Album 30 ineffective as a treatment against coronavirus. Subsequently, AYUSH Ministry released annexures to claim that the pills strengthen immunity. This claim is also unscientific. ",1
The current status of Indian and global vaccine development efforts was also reviewed at the meeting. PM Modi highlighted Indias responsibility and commitment to the global community to play an enabling role in global vaccination efforts againts  COVID-19,1
"The Media Sabotage of Hydroxychloroquine Use for COVID-19: Doctors Worldwide Protest the Disaster  Media and Big Pharma are in lockstep to suppress a cheap, life-saving Covid-19 therapy in order to reap pandemic-sized profits",1
"COVID-19 testing: Doctors prescription should not be mandatory, ICMR suggests ",1
"Over 8,80,000 children could die due to Covid-related issues in next 12 months; most deaths likely in India: ",1
 AYUSH Recommending Arsenicum Album 30 Could be Taken on Empty Stomach Daily  Prescribed By Dr. Prophylactic Medicine Against Novel Corona Virus COVID -19.Chief Suggest SECOND DOSE After1 Month.Check With Doctor if In Need SELF CARE,0
Lethal doses of Hydroxychloroquine given to patients to derail clinical trials and to discredit the cheap and effective Hydroxychloroquine.  ,0
He is like Arnab Goswami. Even he was a good journalist till he tasted gomutra at the V Foundation - the RSS Septic (oops Think) Tank. Both are now peddling spin and rhetoric respectively. ,0
  Frontline doctors testify that hydroxychloroquine works  and protest its sabotage,1
ICMR advocates equine antiserum (Antibodies from horse serum) for vaccine against COVID-19,1
" Gomutra is the only thing in ayurveda ,it's vast, but gomutra is the only thing you guys know. There are US patents on gomutra.""",0
 Foreign cow is different from desi variants. The medicinal properties of Milk ; Gomutra is missing in Foreign cows.',1
", the Corona test people are taking is not a specific test for Covid-19. They are merely looking for antibodies from the Corona virus family. So, if you have the common cold, you will most likely test positive for Covid-19. This is insanity.'",0
PMModi reviewed India's preparations for vaccinating its vast population against COVID19 once a vaccine is available and asserted that vaccination must be affordable and universal ,1
Ivermectin and Doxycycline combination was similar  use of Hydroxychloroquine and Azithromycin therapy in the case of mild to moderate degree of COVID-19 patients. both treatment regimens were effective according this study. ,1
"As per ICMR guidelines, all pregnant women above 37 weeks must be tested for Covid 19 especially for those with symptoms of Coronavirus and if they come from containment zone, before delivery ",1
", this just goes to prove that gomutra is useless.'",1
"Regional Medical Research Centre for NE Region (ICMR-RMRC, Dibrugarh) has been successful in isolating the SARS-CoV-2 (#COVID19) virus.   ",0
"COVID19 has the potential to disrupt services critical to childrens welfare and well-being in SouthAsia, including India, says UNICEF   ",1
 ICMR which is also conducted by NTA has been postpined due to covid 19 emergency.  when every exam is getting postponed then Neet and JEE too will be postponed,1
"ICMR tests nearly 84 lakh samples for Covid-19, positive cases over 5.4 lakh ",1
TS govt issues warning notice to private diagnostic labs for not adhering to ICMR norms while conducting COVID,1
"Volunteers in India will be immunized by a locally made, possible COVID-19 vaccine. Tests done on animals have had positive results. ",1
100 days  practice-changing results   hydroxychloroquine hexamethasone  lopinavir-ritonavir  ,0
"At Covid-19 vaccine review meet, PM Modi lays down 4 principles for vaccination  First, vulnerable groups should be prioritized for early vaccination, doctors, nurses, healthcare workers, frontline corona warriors, vulnerable people among population.  ",1
" 30th  June 2020   8pm, USA was on top of the Corona Virus graph with  2,699,317 cases arising from +17,506 new cases , India with  +14,611, then Brazil with +13,190 new cases.",1
Coronavirus lockdown has impacted education of over 250 million children in India: UNICEF.  ,1
MUMBAI Homeopathy drug untested for efficacy against COVID-19 widely distributed in Mumbai  Homoeopathic medicine Arsenicum Album 30 tablets and liquid ,1
"""ICMR JRF"" exam date extended due to lockdown problems; also due to covid-19 cases so chances of postponing NEET ; JEE exams have also increased.'",1
Hydroxychloroquine Has about 90 Percent Chance of Helping COVID-19 Patients ,0
"   India's Covid-19 cases, deaths surge again  .The addition of 418 deaths raised its fatalities to more 16,000, according to India's health ministry. ",1
Corona warriors(first in line for vaccine when found,1
"Science found Arsenicum Album 30 ineffective as a treatment against coronavirus. Subsequently, AYUSH Ministry released annexures to claim that the pills strengthen immunity. This claim is also unscientific. ",1
"ICMR releases sero-survey results, says no community transmission yet but large population at risk of Covid-19 ",1
" Even if Ayush clears this, you still will have many ridiculing Patanjali. , many  throw  gomutra jibes when they loose argument when in realiry Gomutra's medicinal value is patented!",0
" Covid-19 might push 120 mn children into poverty in South Asia, including India    says UNICEF",1
"""The total number of samples tested up to 30th June is 86,26,585 of which 2,17,931 samples were tested yesterday: Indian Council of Medical Research (ICMR) . Record single-day jump of 507 COVID-19 fatalities pushes India's death toll to 17,400  ",1
"launch infection control audits across hospitals to determine the scale of danger faced by medics during the pandemic. More than 2,000 health care workers have tested positive for Covid-19 in Delhi alone. An earlier ICMR report found 1,073 +ve cases of medics till May 23 ",1
Haryana to start plasma therapy for Covid-19 as part of ICMR trial  ,1
"""India's first COVID19 vaccine candidate, COVAXIN has been jointly developed by @ICMRDELHI , National Institute of Virology (NIV) and Bharat Biotech ",1
"Social Activist Aditi Madhusudhan handed over Arsenicum Album 30 to Mr.Narayanan, Zonal Officer 6 for 11000 beneficiaries ",0
"""Hydroxychloroquine could still prevent infections, and this needs to be determined in a randomised controlled trial,"" he [Professor Nicholas White] said in a statement. ",1
 If Arsenicum Album is really effective then the Arsenic in it will kill us before the corona virus ,0
 Corporators freely distribute bottles of Arsenicum Album 30 as a feel-good factor for constituents; experts fret as no data exists on efficacy against COVID-19. Its a Homeopathic medicine. Incidentally Aush Ministry also recommend it. Any treatment still has to undergo a trial.',1
"Over 8,80,000 children could die due to Covid-related issues in next 12 months; most deaths likely in India.",1
"In a recent breakthrough, India has finally developed its first indigenous COVID-19 vaccine named COAXING. A Hyderabad-based company called Bharat Biotech .",0
"Many patients  Covid-19 will be susceptible to a bacterial pnuemonia infection as a secondary concern. As the lungs become infected w virus, they're more at risk of infection. Thats why Hydroxychloroquine was given to many with Azithromycin a antibiotic with broad spectrum use.""",1
"An estimated 120 million children living in South Asian countries, including India, could slip into poverty within the next six months due to Covid-19  ",1
"Karnataka reports 947 new COVID19 positive cases including 503 cases from Bengaluru Urban, taking the total number of cases to 15242; death toll rises to 246. ",1
Covid19 just another thing made in CHINA.',1
"Homeopathic drugs such as Arsenicum Album 30, promoted by AYUSH, do not boost immunity against COVID ",1
"Urgent action needed to safeguard futures of 600 million South Asian children  including India, threatened by COVID-19: UNICEF ",1
"With state health facilities focussed on mitigating the impact of the deadly virus, many children from poor and marginalised communities are no longer getting the treatment they need for other illnesses.",1
"Vaccine must be affordable: PM Modi chairs meeting to review planning, preparations for Covid-19 vaccination ",1
India countering increasing covid cases regularly ! The govt still knows covid 19 is respiratory virus and can be easily cured by Ayurvedic and Homeopathic treatment. ICMR playing petty politics to favour allopathic system only for money ! ,0
 Five Covid-19 vaccine makers chosen for Warp Speed project; Moderna CEO defends data... ,1
"""We are getting similar reports wherein someone tested +ve in RT-PCR turns -ve in the 2nd test taken within 24 hours. We wanted to conduct a study but finding it difficult as the factors behind such variability are still unknown-Dr Nivedita Gupta, ICMR",1
NBRI has established an Advanced Virology Lab for testing COVID-19. The facility has been developed based on the guidelines of the Indian Council Medical Research  and the Ministry of Health and Family Welfare.  ,1
A study has revealed that healthcare workers are less prone to contracting Coronavirus if they have adequate PPE kits.  ,0
UNICEF India along with govt &amp; partners have reached out to people with lifesaving assistance in multiple states. ,1
Low Dose of Hydroxychloroquine Reduces Fatality of Critically Ill Patients With COVID-19 ,1
"Haryana will administer convalescent plasma therapy to select patients infected with the coronavirus disease(Covid-19) at all its state-run medical colleges, as part of the ongoing nationwide trial by the Indian Council of Medical Research (ICMR).",1
Over 14% in Kolkata have Covid-19 antibodies: ICMR seroprevalence survey - kolkata ,0
 When you count positive antibody tests as new covid cases and people who test positive for covid keep getting retested until theyre negative and those are all added as separate new cases it's no wonder. Makes me wonder if theyre also adding other corona virus like a cold to total,0
NBRI has established an Advanced Virology Lab for testing COVID-19. The facility has been developed based on the guidelines of the Indian Council Medical Research  and the Ministry of Health and Family Welfare.  ,1
"Telangana -945 new COVID19 positive cases (869 in GHMC,28 in Rangareddy), 1712 discharges ; 7 deaths reported in state today. Total number of cases in state now 16339, including8785 active cases,7294 discharged ; 260 Deceased -State Health Dept ",1
"The National Botanical Research Institute ,Lucknow, has established an Advanced Virology Lab with Biosafety Level 3. for testing COVID-19.  The facility has been developed based on the guidelines of the ICMR , World Health Organisation ; Min of Health and Family Welfare. ",1
"  India reports over 18500 COVID-19 cases, 418 deaths in 24 hours: Indian Council of Medical Research (ICMR) said today that the total number of coronavirus samples tested till Monday was 86,08,654 ",1
  The reason Hydroxychloroquine works for COVID-19 is by its ability to bind to DNA and interfere with the virus attack on hemoglobin by preventing the binding mechanism on hemoglobin.',1
" no one expects ICMR to contradict the Centre COVID-19 response strategy on any count, irrespective of the enormity of a transgression. ",1
"""COVID-19 updates Scientists warn new swine flu has potential pandemic risk WHO warns pandemic 'not even close to being over'  ",0
 Almost 400 people in the HCQ arm and more than 700 people in the control arm died and the study still planned to continue. ,0
"""global covid-19 prevention trial of hydroxychloroquine to resume  hopefully they'll use low dose hcq in conjunction with zinc. better to try than watch patients die...""",1
"eight members of the national institutes of health (nih) expert covid-19 treatment guidelines panel disclosed recent financial relationships with gilead, the drugmaker that is introducing an expensive coronavirus competitor to hydroxychloroquine firefauci arrestfauci",1
global covid-19 prevention trial of hydroxychloroquine to resume,1
" so maybe people taking hydroxychloroquine regularly like to stay home more, trying to avoid getting covid-19 because they are  chronically ill? we need rcts, not this.'",0
"  20 bucks a week hydroxychloroquine is saving lives and president donald trump deserves praise for advocating the malaria drug as a potential cure for covid-19, the disease caused by the coronavirus. a small study in france laid the groundwork for using'",0
"the university of oxford is to restart its trial of hydroxychloroquine for the prevention of covid19, after the mhra gave the green light to begin recruiting more participants.",1
"eight members of the national institutes of health (nih) expert covid-19 treatment guidelines panel disclosed recent financial relationships with gilead, the drugmaker that is introducing an expensive coronavirus competitor to hydroxychloroquine.",1
in case you missed it | nih halts covid-19 hydroxychloroquine trial  covid19 coronavirus,1
hydroxychloroquine for covid-19 study did not meet 'expected standard',1
doctor seeing success with hydroxychloroquine to treat covid-19  via,0
they're not giving hydroxychloroquine to people  ,1
"hydroxychloroquine can be dangerous when used for covid-19.""",1
a global trial designed to test whether the anti-malaria drugs hydroxychloroquine and chloroquine can prevent infection with covid-19,1
"hydroxychloroquine is the first choice in a study of 6,000 doctors treating the coronavirus""",1
who halts hydroxychloroquine study after seeing no covid-19 benefit,1
how a false hydroxychloroquine narrative was created when used for covid-19,1
cannabis is more effective at preventing and treating covid-19 than hydroxychloroquine,0
 no one died of starvation due to the lockdown ',0
"depending on how long the covid-19 lockdown goes, the employment security department could be looking at a multi-billion dollar problem for the state.",1
"  without my permission my flight is rescheduled to a date, no change of sector is allowed even after being assured by the airlines. my flight was cancelled due to covid19 lockdown.'",1
100 days of lockdown',1
""" day by day corona patients are growing so please take action for lockdown for 10 -15 days""",1
  definitely. we are always striving to find occupational opportunities for our service users. quite difficult with the recent lockdown restrictions.',1
covid 19 isnt contagious and cant spread. lift that lockdown!',0
so it turns out me in lockdown is exactly the same as this parrot,1
 it has been 100 days of lockdown,1
" not me, i think we should close the borders with england ban all flights and trains as well obvious a lot of english people have not taken this pandemic serious hence why one of their cities is going back into lockdown.'",1
suicide figures are up 200% since lockdown.',1
""" everyone needs 2 wear a mask outside. wear a mask and stop the effing spread""",1
" this is the new normal. periods of low virus load, then outbreak and lockdown and repeat.  they dont have a vaccine for sars, i dont anticipate one will be found, but they will still try to sell us one.'",1
could rotherham-barnsley-doncaster triangle form the next local lockdown? rotherhamlockdown barnsleylockdown doncasterlockdown',0
""" guys, can you tell me why there's a cricket tournament going on on evington park with over 100 people in attendance?  this is why we are back in lockdown!""",1
 defence is still in lockdown. schoolboy stuff.',1
"well, i would say it looks like the lockdown is over as job centres reopen",1
"we cant have ppl quarantining indefinitely period! the proper thing to do is get things set into place that allow for ppl to get out. its impossible to stay lockdown forever without signing our death sentence. social distance, wash hands, masks where needed sanitizer.'",1
"""they should stop eating these animal,  we don't need another lockdown. we have had enough of covid-19.  please don't eat them animals.",1
"   the covid-19 lockdown, the extinction rebellion (and the climate agenda), antifa, mass muslim immigration, and the black lives matter protests are visible signs of that war raising its head above the surface.'",1
pub decides not to reopen after lockdown ,1
people need to go outside for livelihood and to attend offices. but people need to be more cautious and alert for keeping themselves safe.',1
suicide figures are up 200% since lockdown',1
 the court asked the government to maintain a clarity on the lockdown in hyderabad. it questioned as to how the government is going to conduct the exams if the lockdown is announced.',1
mood is not good because of the lockdown,1
"jee main, neet 2020: states extend lockdown; schools, colleges to remain shut. what about exams? ",1
hundred days in lockdown is such a depressing thought',1
china occupying ladakh . baba ramdev false claim. failed lockdown .',1
an ever growing wealth of creative work made under lockdown from across the arts is being uploaded to  enjoy exploring',1
"""regarding the understandable panic about the news of a potential new pandemic in china, it might be worth reading this thread. being alert to such is good, but don't panic.",1
" recommended solution for the pandemic ""wear a mask ""! that will solve this crisis.'",1
"""  wait till you hear what elementary students will be expected to do. it's the cost of getting kids back to school during a pandemic. it will not be perfect but the health and safety of students and teachers has to be the priority.""",1
next level. new month coming up. new crisis. scientists have identified a new strain of h1n1 swine flu in china called g4 they say has the potential to also turn into a pandemic,1
"the pandemic might have changed project planning for the better, but new safety protocols could slow down construction.",1
doctor says new virus in china has traits of 2009 swine flu and 1918 pandemic flu,1
""" this pandemic hasn't been good for anyone especially those just coming out of college. i have a couple classes to finish up and people like me can't even apply for unemployment.""",1
contact tracing really all that effective in curbing the pandemic,0
schools across the globe are reopening amid the coronavirus pandemic ,0
"""don't panic yet about that swine flu strain with 'pandemic potential'",1
"this pandemic has shown that our country desperately needs more doctors. yet, medical schools refuse to change their programs to accommodate more students '",1
 ur grd was one of the first companies in assam to come with sanitizer. wishing you more success and keep serving for a better cause',1
"""   the report clearly says that although there is potential, people have been exposed to it for years without any problems,""",0
 hellooooo! pandemic. russians paying to kill our troops. \xf0\x9f\x8e\xb6do you hear us?\xf0\x9f\x8e\xb6',0
"after covid-19, china identifies another flu virus strain with pandemic potential ",1
"""    perfect storm. george floyd's murder went viral, during a pandemic where the sense of fear/uncertainty is much higher than before. economic downturn, and collective frustration boiling over leads to civil unrest'",1
 going to the store is dangerous. ordering take out is a risk. and you have put a household into a terrible position.,1
"and when it rains it pours.flu strain with 'human pandemic potential' found in china""",1
who warns governments and urges them to implement right policies saying worst still to come in the covid-19 pandemic',1
"doctor tells congress new coronavirus cases could reach 100,000 a day ",1
"very important in this and we are backed by security, their great help in the pandemic, as well as our health workers and others. the ventilators, respirators, masks, multi-caliber tests up to hand sanitizer, and treatments are'",1
the coronavirus pandemic make humans go extinct,0
ppl think corona is a conspiracy to control citizens are wild wild like if the gov wanted to control ppl ',0
"b'@Sanjay53168003 @BiswajitM74 @PMOIndia @nsitharaman @TheOfficialSBI #savegujaratnre #AtmaNirbharBharat @pmoindia @nsitharaman @TheOfficialSBI - MET Coke is an critical product, you may please approve the revival scheme, which helps to built strong for Atmanirbhara against China, as well as saves around 1000 families lives due to unemployment.'",1
"b'Sir, Daily petrol and diesel rates hike by government. Within 20 day Rs. 8 hike. Is this atmanirbhara Bharat package? Public now lost their jobs and governments try to hike rates of daily needs. Please question this. @PawanKalyan'",1
"b'Please approve the Gujarat NRE coke ltd revival scheme, which helps to built strong for Atmanirbhara, as well as saves around 1000 families #savegujaratnre #AtmaNirbharBharat @JoshiPralhad @TheOfficialSBI @nsitharaman @PMOIndia'",1
"b'Please approve the revival scheme,for Gujarat nre which helps to built strong for Atmanirbhara against China, as well as saves around 1000 families lives due to unemployment. #savegujaratnre @PMOIndia  @nsitharaman  @TheOfficialSBI  @JoshiPralhad'",1
"b'#savegujaratnre #AtmaNirbharBharat @pmoindia @nsitharaman @TheOfficialSBI - MET Coke is an critical product, you may please approve the revival scheme, which helps to built strong for Atmanirbhara against China, as well as saves around 1000 families lives due to unemployment.'",1
"b'@GyanamDhyeyam After the bakhts got 15 lakhs in their accounts,such inventions are small things.After all,atmanirbhara bharat as new jumla is automatic succession of super successful schemes like smart cities,Make In India etc. So great grandson is just contributing to that.'",1
"b""@isro What is status of NavIC the Indian navigation system which entire country is awaiting for?? Let it come and compliment PM's Atmanirbhara project .@PMOIndia @narendramodi""",1
"b'@ann_4754ever @fayedsouza Ann how atmanirbhara are we? Do we #BuyIndian? Can we be called #Indian ? I am no fan of @smritiirani  or @narendramodi office, but when Conglomerates strip #India of her rights and governments have no laws in place. It is time for #Indians to act.'",1
"b'#savegujaratnre @pmoindia @nsitharaman @TheOfficialSBI - Please approve the revival scheme, which helps to built strong for Atmanirbhara, as well as saves around 1000 families lives due to unemployment. Save Gujarat NRE Coke Limited'",1
b'Fragrance of Madurai Mogra unbeatable indeed!! It is manufactured by Reckitt Benckiser Malaysia and imported marketed by Reckitt Benckiser India. Atmanirbhara Kya? https://t.co/q52iqkGmN3',1
"b""@ForeverClever33 @lookitstaylorrr And corona pay if that's the reason you were laid off.  That's an added $600 in my state.""",1
"b'@senatorshoshana Giniti seems like the person who took the tide pod challenge, the Corona toilet licking challenge, while having a debate on religion.'",1
b'#Delhi #Coronavirus Update (Data of 30 June 2020) Confirmed cases: 87360 Active cases: 26270 New cases: 2199 Recovered today: 2113  Death today: 62 #IndiaFightsCorona #DelhiFightsCorona #Corona #StayAtHome @DelhiVsCorona @AamAadmiParty',1
b'@Jiya226 Mask would have helped in many ways ...on this person  - protection from corona virus - protection from seeing his face - protection from bad breath as he looks like a bevada and a smoker  I can understand why that woman was asking him to wear mask',1
"b'@OliviaMesser @thedailybeast Optimism, the latest \xe2\x80\x9ccure\xe2\x80\x9d for the Corona Virus! https://t.co/H75lkHRI44'",1
"b'Malnutrition among children will lead to a weakened immune system, thereby increasing the susceptibility of catching the novel Corona-Virus. @MilestoneNGO hereby requests the authorities to take quick action and help in  curbing the spread of the virus.'",1
"b'@dmdehradun @tsrawatbjp @cmo_uttarakhand @AU_DehradunNews @JagranNews  Came to our notice about +ve corona case on Guru Road, Patel Nagar who is admitted to hospital. V wish him speedy recovery. Pls put area in containment or care to explain the reason for not doing it \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'",0
"b'@INCIndia @SupriyaShrinate He &amp; his government taking enough steps to curb Corona but this is ur party which is creating problems everywhere in India.U guys r not serious abt ths u r organising demonstration everywhere without taking care of social distancing, mask etc. V want India free from both C.'",1
"b'@TheRightMelissa Still better than being infected by #Covid19 ! \xf0\x9f\x98\xb7  I am sick with #Corona and so are a lot of people.   Please please #stayhome and if  you can not, DO WEAR A #mask, #please! #protecteachother ! #ThankYou  Maybe you will not #die yourself, but someone else could by your behaviour'",1
b'@inquestioner Modi govt unable to proceed with NPR exercise due to Corona.',1
"b""@robbystarbuck I don't think so...it will be difficult but the kids will suffer being forced into masks, social distancing and no recess! My grandson is 7! He already hates corona...It has kept him away from school,parks and friends..so now you can look but don't touch your friends?\xf0\x9f\x98\xb3""",1
"b'Ghana\xe2\x80\x99s COVID-19:  390 new cases recorded, increasing case count to 17,741 with 13,268 recoveries #Corona https://t.co/W8rnqdzu2U'",1
b'@blueianna Corona is to',0
"b'Update on the comic update-  Still sick, still in the works, confirmed not corona though so that is rad'",1
b'wear a damn mask so corona can go extinct\xf0\x9f\x98\xa4\xf0\x9f\x98\xb7 https://t.co/XM0kdghzL3',0
"b""I don't think my immune system is strong enough for Corona. I just know when I get it, it will the grace of God if I survive.""",1
b'@kagisovereignty The tweet got deleted. There was a video of people at a after tears who all tested positive for Corona.',0
b'Babaji how are you???  Everything is fine???  Your 100% Corona Cure Medicine now become Cough and fever medicine!!!!   That means you lied previously. Baba ji lied https://t.co/ORadFdHNFU',1
b'I\xe2\x80\x99m not going to school next semester these ppl trippin. Mask or no mask you can still catch corona.',1
"b""@tedcruz @realDonaldTrump Did they kill the statue? You really do need to FOCUS on REALITY.  CORONA VIRUS UPDATE:  TOTAL CASES 2,545,250 41,075 New Cases* TOTAL DEATHS 126,369 885 New Deaths* *Compared to yesterday's data,""",1
b'World Health Organization : Help Refugees fight Corona Covid19. - Sign the Petition! https://t.co/WEtR8HnJwE via @Change',1
"b'ANTONIA MAINO NARENDRA MODO ARNABA GOSWAMO  ALL ARE HAPPY TODAY  REPUBLICO INDIO IS SUFFERING  with Fuel, Corona, Economy  How can you sleep??? When we all CRY................  #RepublicDefeatsSonia  #RepublicTV  #SpeakUpAgainstFuelHike #FuelPriceHike #SpeakUponPetroleumPrices'",1
b'i need this corona shit to leaveeee. i miss concerts',1
"b""AH AH AHHH WTF DID THAT BITCH ASS CORONA THINK IT COULD DO?! MY SHLIME MURKED THAT SHIT\xf0\x9f\xa5\xba\xe2\x9d\xa4\xef\xb8\x8fI'M SO DAMN HAPPY\xf0\x9f\xa5\xba https://t.co/xfovSxfCGY""",1
"b'@KingSalman You are a king, you can do anything .. Please reduce the fees of Iqama and visit visas for the people of India.After corona'",0
"b""@Anukriti2881 @sardesairajdeep It was pretty clear that the fortune collected will be used for Corona help as food and subsidized ventilators. People aren't fooled out here. All parties use money for election. In case of BJP, electoral bonds are used which are more transparent.""",0
"b'@LeadersLead_Inc @mastilashkari @ChelseaClinton @realDonaldTrump You think Trump ""let"" Corona kill people? So who ""let"" AIDS kill people? Who ""let"" The Plague kill people? Who is ""letting"" Cancer kill people? Who ""let\'s"" babies die every day in Abortion I Clinics? 60 million to 125,000 looks like the Right wins again'",1
b'I love and laugh when news is positive for corona virus BUT only if EVERYBODY wears a mask (at least 95% of people).  So in other words..... NOT GONNA HAPPEN....  Thanks to MAGA morons and Trumpers mostly but also entitled idiots in general \xf0\x9f\xa4\xa3\xf0\x9f\x98\x85\xf0\x9f\x98\x82',1
"b'@POTUS  @realDonaldTrump  @VP @parscale  @LaraLeaTrump  @PressSec  @EricTrump  @DonaldJTrumpJr   What is wrong with GOP? Every GOP &amp; Congressmen need to scream on camera every day that corona deaths down, murders up, Dem led cities continue to decline, Trump is attacked! Help!'",0
"b""@Cernovich I can board that train. It works in closed places. There is no reason to don't use it. Also, there is no reason to don't have HCQ if you got corona.  Looks like its madness to be rational these days.""",1
b'@RottenJJLove Town was packed as if corona never existed',1
"b'10,495,132 #Coronavirus cases as of 2020-06-30 12:40:03 https://t.co/UmKorhLvFv'",1
